VATTENID	NAMN	LOKALNAMN	DATUM1	NETTYP	NETKOD	NETNR	ZON	NabborB	BabborB	NgäddaB	BgäddaB	NlakeB	BlakeB	NmörtB	BmörtB	Narter	NtotalB	BtotalB	MviktB	AbCyW	pCyp	mlg10Labbo	mlg10Lmört	nPiscAbb-Net	BpiscAbbB-Net	gmLabboB	gmLmörtB	pPiscPerc
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	4	3	15	1039	0	0	0	0	3	189	2	18	1228	68.22	5.50	0.15	2.25	2.20	11.57	968.07	178.21	160.01	0.79
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	5	3	21	484	0	0	0	0	16	931	2	37	1415	38.24	0.52	0.66	2.10	2.18	4.35	234.36	126.98	152.13	0.17
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	6	3	25	954	0	0	0	0	15	668	2	40	1622	40.55	1.43	0.41	2.16	2.17	9.33	651.52	144.69	148.45	0.40
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	7	6	0	0	0	0	0	0	0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	8	6	2	171	0	0	0	0	11	315	2	13	486	37.38	0.54	0.65	2.30	2.14	2.00	169.40	200.55	136.99	0.35
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	9	0	25	678	0	0	0	0	18	585	2	43	1263	29.37	1.16	0.46	2.09	2.11	5.97	416.01	122.89	128.63	0.33
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	10	0	29	524	0	0	0	0	9	478	2	38	1002	26.37	1.10	0.48	2.03	2.18	4.22	264.34	107.21	150.19	0.26
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	11	0	25	758	1	380	1	21	13	578	4	40	1737	43.43	1.31	0.33	2.09	2.20	8.15	573.29	124.39	158.53	0.33
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	12	3	18	474	1	654	0	0	10	279	3	29	1407	48.52	1.70	0.20	2.13	2.09	4.90	220.70	135.61	122.00	0.16
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	13	3	30	640	1	568	0	0	8	596	3	39	1804	46.26	1.07	0.33	2.10	2.25	3.43	186.17	124.61	179.85	0.10
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	14	3	17	526	1	731	0	0	8	398	3	26	1655	63.65	1.32	0.24	2.14	2.14	5.10	296.81	138.89	138.88	0.18
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	15	6	15	730	0	0	0	0	4	341	2	19	1071	56.37	2.14	0.32	2.23	2.31	12.38	644.94	170.18	206.08	0.60
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	16	6	0	0	0	0	0	0	1	133	1	1	133	133.00	0.00	1.00		2.38				240.00	
