"Year"	"DepthStratum"	"N"	"n21"	"n18"	"n15"	"n12"
"2019"	"3-6m"	8	7	6	5	4
"2019"	"3-6m"	8	7	6	5	4
"2019"	"3-6m"	8	7	6	5	4
"2019"	"3-6m"	8	7	6	5	4
"2019"	"3-6m"	8	7	6	5	4
"2019"	"3-6m"	8	7	6	5	4
"2019"	"3-6m"	8	7	6	5	4
"2019"	"3-6m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2019"	"6-12m"	8	7	6	5	4
"2020"	"0-3m"	8	7	6	5	4
"2020"	"0-3m"	8	7	6	5	4
"2020"	"0-3m"	8	7	6	5	4
"2020"	"0-3m"	8	7	6	5	4
